Original-Name,Spotify-Name,Spotify-ID,Genres
Beatriz-Luengo,Beatriz-Luengo,23cijmutocNvhM5xkcyyFF,
Bebe,Bebe,2byU53ebtTxcAnIRE814Ts,
Bebe-Rexha,Bebe-Rexha,64M6ah0SkkRsnPGtGiRAbb,
Bebo-Valdés,Bebo-Valdés,3qeECzqe5c7ssusMaDdwbj,latin-jazz;-flamenco;-son-cubano;-bolero;-cha-cha-cha
Beck,Becky-G,4obzFoKoKRHIphyHzJ35G3,reggaeton;-latin
Bee-Gees,Bee-Gees,1LZEQNv7sE11VDY3SdxQeN,disco
Belén-Arjona,Belen-Arjona,7fSmMNbD8rf6X6X0RNoiVN,
Belinda-Carlisle,Belinda-Carlisle,7xkAwz0bQTGDSbkofyQt3U,
Ben-Harper,Ben-Harper,45lorWzrKLxfKlWpV7r9CN,surf-rock
Benny-Goodman,Benny-Goodman,1pBuKaLHJlIlqYxQQaflve,big-band;-swing-music;-jazz;-ragtime
Beret,Beret,0ZHPrnImGh4re3TbSNkoZl,
Beth,Ludwig-van-Beethoven,2wOqMjp9TyABvtHdOSOTUS,classical;-classical-piano;-chamber-music
Beyoncé,Beyoncé,6vWDO969PvNqNYHIOW5v0m,
Billie-Eilish,Billie-Eilish,6qqNVTkY8uBg9cP3Jd7DAH,
Billie-Holiday,Billie-Holiday,1YzCsTRb22dQkh9lghPIrp,jazz;-vocal-jazz;-jazz-blues;-big-band
Billy-Idol,Billy-Idol,7lzordPuZEXxwt9aoVZYmG,
Billy-Joel,Billy-Joel,6zFYqv1mOsgBRQbae3JJ9e,soft-rock
Bing-Crosby,Bing-Crosby,6ZjFtWeHP9XN7FeKSUe80S,christmas
Bizarrap,Bizarrap,716NhGYqD1jl2wI1Qkgq36,argentine-trap;-trap-latino;-urbano-latino
Björk,Björk,7w29UYBi0qsHi5RTcv3lmA,art-pop;-trip-hop
Black,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,k-pop
Black-Eyed-Peas,Black-Eyed-Peas,1yxSLGMDHlW21z4YXirZDS,
Black-Sabbath,Black-Sabbath,5M52tdBnJaKSvOpJGz8mfZ,metal;-heavy-metal;-rock;-stoner-rock;-doom-metal;-hard-rock;-classic-rock
Blink-182,blink-182,6FBDaR13swtiWwGhX1WQsP,pop-punk;-punk;-emo-pop;-rock;-skate-punk;-emo
Blondie,Blondie,4tpUmLEVLCGFr93o8hFFIB,
Blur,Blur,7MhMgCo0Bl0Kukl93PZbYS,britpop;-madchester;-alternative-rock
Bob-Dylan,Bob-Dylan,74ASZWbe4lXaubB36ztrGX,folk-rock;-folk;-singer-songwriter;-roots-rock;-country-rock
Bob-Marley,Bob-Marley,6BH2lormtpjy3X9DyrGHVj,reggae;-roots-reggae;-rocksteady
Bobby-McFerrin,Bobby-McFerrin,2FjkZT851ez950cyPjeYid,
Bon-Iver,Bon-Iver,4LEiUm1SRbFMgfqnQTwUbQ,indie-folk
Bon-Jovi,Bon-Jovi,58lV9VcRSjABbAbfWS6skp,glam-metal;-rock
Boney-M.,Boney-M.,54R6Y0I7jGUCveDTtI21nb,disco
Bonnie-Tyler,Bonnie-Tyler,0SD4eZCN4Kr0wQk56hCdh2,
Boy-George,Boy-George,2BWfZGPtsjRlRp7JTDqI45,
Boyzone,Boyzone,6X9aYHnQ75YI8o08aoa0iS,
Brandi-Carlile,Brandi-Carlile,2sG4zTOLvjKG1PSoOyf5Ej,folk;-americana
Brian-Eno,Brian-Eno,7MSUfLeTdDEoZiJPDSBXgi,ambient;-art-rock;-krautrock;-minimalism;-drone;-glam-rock;-space-music
Brian-May,Brian-May,2NcbLU1bW55eahD0UgD7U3,
Britney-Spears,Britney-Spears,26dSoYclwsYLMAKD3tpOr4,pop
Bruce-Springsteen,Bruce-Springsteen,3eqjTLE0HfPfh78zjh6TqT,
Bruno-Mars,Bruno-Mars,0du5cEVh5yTK9QJze8zA0C,
Bryan-Adams,Bryan-Adams,3Z02hBLubJxuFJfhacLSDc,
Bryan-Ferry,Bryan-Ferry,5RNFFojXkPRmlJZIwXeKQC,glam-rock
Bryn-Christopher,Bryn-Christopher,7mWMzxN6IAIQ1tfFFtAiQv,
Buffalo-Springfield,Buffalo-Springfield,3eskO5m0H4yiF64vRySBjr,folk-rock;-country-rock
Buika,Buika,1gbXoccc8bjK8eUh92mILy,flamenco;-latin-jazz;-fado
Burning,Burning-Witches,0eNuNAhL4dW2nvKbSe2mS8,power-metal;-heavy-metal;-metal
C.-Tangana,C.-Tangana,5TYxZTjIPqKM8K8NuP9woO,
Caetano-Veloso,Caetano-Veloso,7HGNYPmbDrMkylWqeFCOIQ,mpb;-bossa-nova;-samba
Café-Quijano,Café-Quijano,2ECP3nWC88LaFz4oQzTo3Z,bolero;-rock-en-español
Café-Tacuba,Café-Tacvba,09xj0S68Y1OU1vHMCZAIvz,rock-en-español;-mexican-rock;-latin-rock;-latin-alternative;-ska
Calvin-Harris,Calvin-Harris,7CajNmpbOovFoOoasH2HaY,edm
Camila,Camila,2gRP1Ezbtj3qrERnd0XasU,latin-pop
Camila-Cabello,Camila-Cabello,4nDoRrQiYLoBzwC5BhVJzF,
Camilo-Sesto,Camilo-Sesto,2Cy7KBSkqu7otJfuMTWT7Y,bolero
Cardi-B,Cardi-B,4kYSro6naA4h99UJvo89HB,
Carla-Bruni,Carla-Bruni,1HVwzNriKEjaeE06okqSpx,french-jazz;-chanson
Carlinhos-Brown,Carlinhos-Brown,5jvQoouPSDvUEwynz5KPpv,axé
Carlos-Baute,Carlos-Baute,3smfreCkyJt7bShaTYpG77,latin-pop
Carlos-Cano,Santana,6GI52t8N5F02MxU0g5U69P,
Carlos-Jean,Jean-Carlos-Centeno,2w1UJL5kYJJkvjo71fQjOB,vallenato
Carlos-Núñez,Carlos-Núñez,3e09WanUMwtc9XfZRLvZ30,celtic;-traditional-music
Carlos-Vives,Carlos-Vives,4vhNDa5ycK0ST968ek7kRr,colombian-pop;-vallenato;-latin;-latin-pop
Carpenters,Carpenters,1eEfMU2AhEo7XnKgL7c304,christmas;-adult-standards
Cat-Stevens,Yusuf-/-Cat-Stevens,08F3Y3SctIlsOEmKd6dnH8,folk-rock;-folk;-singer-songwriter
Celia-Cruz,Celia-Cruz,2weA6hhVqTIN2gSn9PUB9U,salsa;-son-cubano;-bolero;-cha-cha-cha;-merengue;-mambo;-latin;-latin-dance
Celine-Dion,Céline-Dion,4S9EykWXhStSc15wEx8QFK,variété-française
Celtas-Cortos,Celtas-Cortos,3hIPQBm8PBt8B5aahP6cVP,celtic-rock;-celtic
Cepeda,Cepeda,5AMBCoLbNgVCbA3XYMRlks,
Chambao,Chambao,2qhLqZ1pkiUl5HNrU2Nz0R,flamenco;-flamenco-pop
Chanel,JB-The-Voice,7vA5AqDrKvwuqhLJVQSdUu,
Charles-Aznavour,Charles-Aznavour,2hgP9Ap2tc10R5jrQaEpMT,chanson;-variété-française;-french-jazz
Charlie-Puth,Charlie-Puth,6VuMaDnrHyPL1p4EHjYLi7,soft-pop;-pop
Chavela-Vargas,Chavela-Vargas,0WC6O2ZzUcDYvcmt2mGh8c,bolero;-trova;-ranchera;-mariachi;-latin-folk
Chayanne,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,latin-pop
Chema-Vargas,Chema-Vargas,4AxZSEZepXPN1YGg6AqKPI,singer-songwriter
Chenoa,Chenoa,0i3ypO6G38iZmANDHWZxlY,
Cher,Cher,72OaDtakiy6yFqkt4TsiFt,
Chicago,Chicago,3iDD7bnsjL9J4fO298r0L0,soft-rock
Chris-Brown,Chris-Brown,7bXgB6jMjp9ATFy66eO08Z,r&b
Chris-Isaak,Chris-Isaak,7290H8m1Dwt8G7jm1y9CQx,
Chris-Martin,Chris-Martin,0LQoZQIV0mIs0y0XQb0Sw2,
Chris-Rea,Chris-Rea,5KEG7G8LDYlHgFDqZyEEs2,christmas
Christina-Aguilera,Christina-Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,
Christina-Rosenvinge,Christina-Rosenvinge,7MignPwWd7ZxlPi54KtLpp,
Christopher-Cross,Christopher-Cross,695W5F2Ih8dYahLdjVOIoH,soft-rock
Chuck-Berry,Chuck-Berry,293zczrfYafIItmnmM3coR,rockabilly;-rock-and-roll
Coldplay,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,
Cómplices,Cómplices,4VIU80QkcrMEdKoiWmnWvr,rock-en-español;-latin-rock
Coque-Malla,Coque-Malla,2VR9eUwDCe6jccal0ZQ5FV,singer-songwriter
Corinne-Bailey-Rae,Corinne-Bailey-Rae,29WzbAQtDnBJF09es0uddn,
Coti,Coti,1OUDQLymoysITxprkd0Qvj,argentine-rock;-latin-pop
Counting-Crows,Counting-Crows,0vEsuISMWAKNctLlUAhSZC,
Courtney-Love,Courtney-Love,4vI0xGbQl2cMnMiagUEBOj,grunge
Coyote-Dax,Coyote-Dax,5suCFlGHpWS0iXRzNbHV6V,
Craig-David,Craig-David,2JyWXPbkqI5ZJa3gwqVa0c,
Cream,Cream,74oJ4qxwOZvX6oSsu1DGnw,classic-rock;-psychedelic-rock;-acid-rock;-blues-rock
Creed,Creed,43sZBwHjahUvgbx1WNIkIz,post-grunge
Creedence-Clearwater-Revival,Creedence-Clearwater-Revival,3IYUhFvPQItj6xySrBmZkd,classic-rock;-southern-rock;-country-rock
Crowded-House,Crowded-House,7ohlPA8dRBtCf92zaZCaaB,
Culture-Club,Culture-Club,6kz53iCdBSqhQCZ21CoLcc,
Cyndi-Lauper,Cyndi-Lauper,2BTZIqw0ntH9MvilQ3ewNY,
Daddy-Yankee,Daddy-Yankee,4VMYDCV2IEDYJArk749S6m,reggaeton;-latin
Dani-Martín,Dani-Martín,3AIPhNgeF9S1Kyg9Yy3UQW,
Danza-invisible,Danza-Invisible,1MK9J20Op7jFgUDbLiy6m2,rock-en-español
Darkness,DarknessMX,6xzjmDZQioHF8HgQkdEFr0,
Dave-Grohl,Dave-Grohl,7mRVAzlt1fAAR9Cut6Rq8c,
David-Bisbal,David-Bisbal,5gOJTI4TusSENizxhcG7jB,latin-pop
David-Bowie,David-Bowie,0oSGxfWSnnOXhD2fKuz2Gy,glam-rock;-art-rock
David-Bustamante,Bustamante,1VfKauu6JYTUrApbJXU0zo,
David-Civera,David-Civera,2DxcVfyMWELUI4yPBxgoZF,
David-DeMaria,David-DeMaría,6oaqXcTI16QinRDKLtkMaI,flamenco-pop;-flamenco
David-Gilmour,David-Gilmour,2FcC4sDMXme2ziI7tGKMK8,progressive-rock;-symphonic-rock
David-Guetta,David-Guetta,1Cs0zKBU1kc0i8ypK3B9ai,edm;-dance
Deacon-Blue,Deacon-Blue,5jqKIZLB5WA5KquEihB3ND,
Decai,Decai,2HFVE11OC3J6jXcmrXkWHV,flamenco-pop;-flamenco;-flamenco-urbano
Deep-Purple,Deep-Purple,568ZhdwyaiCyOGJRtNYhWf,hard-rock;-classic-rock;-rock
Def-Con-Dos,Def-Con-Dos,1O4hqQz2nV0jrlF9VEFBNK,rap-metal
Def-Leppard,Def-Leppard,6H1RjVyNruCmrBEWRbD0VZ,glam-metal;-glam-rock;-classic-rock
Deftones,Deftones,6Ghvu1VvMGScGpOUJBAHNH,nu-metal;-alternative-metal;-rap-metal;-shoegaze
Demi-Lovato,Demi-Lovato,6S2OmqARrzebs0tKUEyXyp,
Depeche-Mode,Depeche-Mode,762310PdDnwsDxAQxzQkfX,new-wave;-synthpop;-darkwave
Despistaos,Despistaos,0QE9iXPzgSaBq34OqIZ4n2,
Destiny's-Child,Destiny's-Child,1Y8cdNmUJH7yBTd9yOvr5i,
Diana-Krall,Diana-Krall,5z1VAFwT35EVvCp1XlZZuL,vocal-jazz;-jazz;-smooth-jazz
Diana-Navarro,Diana-Navarro,2UPK6yJypnotLzHuUBiVa2,flamenco;-flamenco-pop
Diana-Ross,Diana-Ross,3MdG05syQeRYPPcClLaUGl,motown;-disco
Dido,Dido,2mpeljBig2IXLXRAFO9AAs,
Diego-Torres,Diego-Torres,0LALueHEQunQ2d61fXGeZh,latin-pop;-colombian-pop
Diego-Vasallo,Diego-Vasallo,17AoFB11k5GLC8TFO7o7O8,
Diplo,Diplo,5fMUXHkw8R8eOP2RNVYEZX,moombahton
Dire-Straits,Dire-Straits,0WwSkZ7LtFUFjGjMZBMt6T,classic-rock
DJ-Khaled,DJ-Khaled,0QHgL1lAIqAw0HtD7YldmP,
Dolly-Parton,Dolly-Parton,32vWCbZh0xZ4o9gkz4PsEU,country
Dolores-O'Riordan,Dolores-O'Riordan,55s643XPig11NyYM8do64C,
Donna-Summer,Donna-Summer,2eogQKWWoohI3BSnoG7E2U,disco;-hi-nrg
Donovan,Donovan,6vLlQYujOujIrm7zAKzEdG,folk-rock;-psychedelic-rock
Dover,Dover,5kdLOinhQnlSk4su7U6lyW,
Dr.-Dre,Dr.-Dre,6DPYiyq5kWVQS4RGwxzPC7,g-funk;-gangster-rap;-west-coast-hip-hop;-hip-hop;-rap
Drake,Drake,3TVXtAsR1Inumwj472S9r4,rap
Dua-Lipa,Dua-Lipa,6M2wZ9GZgrQXHCFfjv46we,pop
Duffy,Duffy,37NqXwtb6nIEqRt4EJSoIO,
Dulce-Pontes,Dulce-Pontes,3d5RmASP3q3rt8izEWDt8w,fado
Duncan-Dhu,Duncan-Dhu,2MLHBMApNE5h8wIufiTPs7,rock-en-español;-latin-rock
Dúo-Dinámico,Duo-Dinamico,1TiGxAkU8w0xBCVFOP6Ttl,
Duran-Duran,Duran-Duran,0lZoBs4Pzo7R89JM9lxwoT,new-wave;-synthpop
Dvicio,Dvicio,2KxjMGXFgX1vt9grpbD3xI,
Eagles,Eagles,0ECwFtbIWEVNwjlrfc6xoL,classic-rock;-soft-rock
Ed-Sheeran,Ed-Sheeran,6eUKZXaKkcviH0Ku9w2n3V,soft-pop
Eddie-Money,Eddie-Money,4Tw2N3wdvJPGEU7JqMxFfE,classic-rock
Eddy-Grant,Eddy-Grant,6j2HWcd7z61iTLbi8eD0hA,
Edurne,Edurne,1RpT4SSsNAr0JaSvvwNkgh,
